序号,泵站,设计能力_m3s,服务面积_km2,服务范围
1,A,1.125,/,东：大渡河路，南：光复西路，西：丹巴路，北：金沙江路
2,B,0.504,/,东：曹杨路中山北路铁路，南：金沙江路，西：桃浦河，北： 梨园浜
3,C,0.816,/,东：丹巴路，南：苏州河，西：千阳路，北：金沙江路
4,D,1.12,2.08,东：华东师大、苏州河，南：苏州河，西：长风公园、大渡河路，北：长风公园、金沙江路
5,E,1.494,1.06,东：遵义路、万航渡路，南：茅台路、仙霞路，西：古北路，北：苏州河
6,F,0.66,6.78,东：古北路、凯旋路轨道交通三号线，南：古羊路，西：威宁路，虹许路，北：苏州河
7,G,0.255,/,东：凯旋北路，南：苏州河，西：华东师大，北：金沙江路
8,H,4.4,1.72,东：凯旋路，南：延安西路，西：遵义路西侧，北：万航渡路、苏州河
9,I,4.8,2.13,东：万航路、镇宁路、永源路、乌鲁木齐北路；南：华山路，西：江苏路西侧，北：苏州河
10,J,0.476,0.7,东：华阳路东侧，南：安化路，西：定西路、中山公园，北：苏州河
11,K,2.9,3.16,东：定西路、华山路东侧，南：淮海西路，西：凯旋路，北：苏州河
12,L,0.348,0.14,东：曹杨路，南：苏州河，西：凯旋北路，北：金沙江路、宁夏路
13,M,2.5,2.74,东：武宁路东侧，南：苏州河、宁夏路，西：曹杨路、金沙江路，北：真如港
14,N,1.124,1.69,东：武宁南路以东200米，南：南京西路，西：万航路、镇宁路、永源路、乌鲁木齐北路，北：苏州河
15,O,3.3,1.39,东：常德路，南：北京路、愚园路，西：武宁路，北：苏州河
16,P,0.303,/,东：彭越浦，南：中山北路，西：宜川路，北：延长中路
17,Q,0.237,0.22,东：大统路，南：天目路，西：苏州河，北：铁路沿线
18,R,3.0,0.99,东：和田路，南：交通路，西：彭越浦，北：中山北路、柳营路
19,S,0.615,1.08,东：恒丰路，南：长安路，西：苏州河，北：秣陵路
20,T,0.64,1.43,东：大统路，南：苏州河，西：恒丰路，北：天目中路
21,U,4.02,3.45,东：苏州河、石门二路、茂名北路，南：延安西路、巨鹿路，西：西康路、常德路、华山路，北：长寿路
22,V,3.3,3.06,东：温州路、黄河路，南：南昌路、淮海中路，西：石门二路、茂名北路，北：苏州河
23,W,0.6,1.41,东：四川北路，南：苏州河，西：山西北路，北：武进路、海宁路
24,X,0.228,/,东：乍浦路，南：天潼路，西：江西北路，北：海宁路
25,Y,0.51,0.65,东：中山东一路，南：福州路，西：山东路，北：苏州河
26,Z,1.2,1.41,东：四川路，南：苏州河，西：乌镇路，北：天目中路～天目东路
