time,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,PLANT_IN,B101,B102,B103,B104,B105,B201,B202,B203,B204,B205,B301,B302,B303,B304,B305,B401,B402,B403,B404,B405,B501,B502,B503,B504,B505,B601,B602,B603,B604,B605
2026-06-01 00:00:00,529.9,625.2,231.1,594.9,399.2,198.5,600.2,745.7,483.1,626.5,429.2,331.5,358.3,534.0,623.8,276.8,409.9,744.8,540.9,365.5,550.2,465.4,313.6,502.0,448.3,541.9,454.4,282.3,508.7,322.1,289.1,342.0,575.0,240.5,269.9,312.9,303.7,523.1,498.5,293.4,604.4,359.8,410.7
2026-06-01 00:05:00,548.2,622.8,218.7,582.9,397.2,207.4,618.5,700.5,462.0,629.8,412.4,333.7,379.5,505.0,618.0,264.8,415.7,788.7,509.3,340.7,549.9,460.7,306.9,492.1,442.6,521.8,452.3,274.0,492.3,307.8,286.0,352.8,593.5,239.6,257.9,319.5,286.3,538.3,458.0,276.9,610.9,372.3,394.4
2026-06-01 00:10:00,551.2,592.4,216.9,615.7,393.4,215.8,580.0,697.3,465.4,602.3,410.6,343.8,372.7,520.7,615.8,268.8,399.8,730.9,521.8,359.7,541.8,436.4,314.5,489.1,436.1,521.4,431.7,269.0,496.1,325.5,292.0,340.7,547.8,234.2,266.6,305.7,299.0,541.6,457.0,291.0,606.0,347.5,389.1
2026-06-01 00:15:00,533.2,592.6,210.9,608.6,372.6,202.5,586.0,658.9,466.9,631.0,421.3,337.7,383.6,539.0,608.5,264.7,389.7,711.3,485.3,372.8,546.5,447.6,305.9,500.6,457.8,506.4,430.2,253.8,515.2,319.2,297.3,340.8,549.0,235.8,271.1,298.7,283.0,532.7,476.6,275.5,591.4,357.4,407.0
2026-06-01 00:20:00,561.3,607.1,208.3,622.8,367.8,204.5,577.7,671.7,451.7,601.5,396.7,336.5,367.2,521.3,582.1,257.4,364.9,731.4,503.6,356.3,538.4,454.7,307.6,455.2,447.5,515.4,455.4,271.3,492.3,337.6,292.3,344.0,564.9,233.6,241.3,293.8,282.2,506.2,477.8,285.0,602.3,348.8,404.6
2026-06-01 00:25:00,566.8,584.4,197.3,574.1,382.8,212.1,586.1,674.0,454.0,590.2,401.8,328.4,355.1,481.9,600.8,246.6,378.1,731.4,523.0,348.9,559.6,447.2,314.0,490.5,431.0,503.8,386.1,269.1,534.7,329.2,276.0,356.1,555.9,239.5,255.8,303.9,281.8,499.1,462.3,301.9,574.8,341.5,394.8
2026-06-01 00:30:00,574.9,605.8,216.6,586.0,363.9,198.1,556.9,654.4,424.9,580.4,380.9,318.3,351.7,491.3,589.0,247.0,387.1,711.8,497.3,345.2,558.4,421.0,316.9,471.2,463.2,473.3,430.6,247.8,516.5,327.0,287.2,334.7,541.9,225.3,248.9,300.1,272.4,510.8,486.0,281.8,568.9,349.4,381.2
2026-06-01 00:35:00,564.1,594.9,212.9,556.5,337.0,189.1,565.8,643.8,460.8,579.1,398.9,337.6,351.8,492.6,560.3,229.6,360.7,701.9,517.0,366.6,577.8,438.5,305.0,457.3,422.7,488.4,436.5,248.8,537.1,329.0,292.4,343.5,564.3,225.9,244.2,296.0,260.5,490.0,460.8,279.8,572.7,343.0,365.7
2026-06-01 00:40:00,582.9,581.1,208.8,570.4,371.2,187.8,517.4,651.1,437.4,584.1,393.7,313.6,346.3,455.2,546.5,248.0,385.3,722.8,508.7,374.8,544.0,437.9,311.6,457.3,418.2,453.7,416.0,251.3,538.2,315.2,298.3,378.6,550.9,209.8,245.6,304.1,263.4,505.5,478.0,297.0,577.5,351.4,371.1
2026-06-01 00:45:00,533.6,584.2,209.2,565.4,350.0,189.4,512.7,665.4,417.4,572.8,396.0,321.2,362.9,451.0,548.5,249.9,359.8,682.7,540.7,366.7,551.8,455.8,300.0,439.3,403.7,475.9,428.3,227.1,562.2,337.0,301.3,376.2,568.8,213.7,250.0,292.3,259.6,484.0,484.6,288.6,638.9,337.6,366.1
2026-06-01 00:50:00,566.3,631.4,215.1,581.2,363.9,184.0,496.1,631.1,394.6,562.1,369.3,313.0,359.1,472.8,528.8,224.6,363.7,662.5,539.7,365.3,554.5,484.9,287.6,424.5,397.3,459.6,400.4,246.5,514.2,340.2,296.1,371.0,535.1,223.7,238.8,286.0,263.6,488.0,496.8,302.5,569.1,329.8,377.9
2026-06-01 00:55:00,563.5,606.7,201.4,590.3,371.7,182.9,539.1,641.7,433.5,543.8,375.9,316.1,327.3,468.8,551.0,243.2,352.9,640.8,550.8,352.5,557.8,453.8,291.7,429.8,395.8,459.9,389.5,242.4,578.4,347.3,295.5,361.6,562.3,208.5,240.6,293.7,269.2,485.5,485.2,291.2,576.8,339.6,368.9
2026-06-01 01:00:00,588.2,645.1,208.5,590.3,355.4,190.0,531.8,624.2,422.0,535.9,359.2,301.9,339.8,437.3,561.6,238.0,340.4,680.0,561.0,379.6,578.2,438.4,301.7,412.1,407.7,456.4,395.2,228.2,586.8,349.5,312.6,372.9,574.2,216.3,230.7,286.8,251.6,446.9,515.7,301.6,605.7,344.6,370.3
