time,cod_mg_l,nh3n_mg_l,tn_mg_l,tp_mg_l,ss_mg_l,ph,toxicity_flag,inflow_m3h
2026-06-01 00:00:00,325.2,30.6,40.2,4.7,204.9,7.28,0,4078.8
2026-06-01 00:05:00,377.8,34.3,47.0,4.9,197.5,7.41,0,3838.9
2026-06-01 00:10:00,355.5,28.3,44.0,3.9,196.5,7.2,0,4045.5
2026-06-01 00:15:00,343.8,33.6,43.8,4.6,163.9,7.3,0,4040.2
2026-06-01 00:20:00,341.4,30.7,49.1,4.9,185.8,7.14,0,3883.2
2026-06-01 00:25:00,377.4,29.1,42.5,4.7,187.7,7.26,0,3839.0
2026-06-01 00:30:00,374.1,28.5,47.2,4.9,177.8,7.2,0,3697.7
2026-06-01 00:35:00,311.7,30.9,45.0,4.3,216.5,7.22,0,3712.7
2026-06-01 00:40:00,379.7,30.7,44.9,4.5,187.4,7.36,0,3777.5
2026-06-01 00:45:00,345.4,28.4,48.1,4.6,177.7,7.37,0,3719.7
2026-06-01 00:50:00,367.0,31.5,45.2,4.7,232.2,7.24,0,3697.3
2026-06-01 00:55:00,351.7,30.9,44.2,3.9,202.5,7.33,0,3715.5
2026-06-01 01:00:00,306.5,29.1,37.5,4.6,196.7,7.25,0,3783.9
2026-06-01 01:05:00,337.8,28.8,47.8,4.9,190.7,7.27,0,3575.2
2026-06-01 01:10:00,306.8,30.4,41.1,5.0,179.9,7.19,0,3538.3
2026-06-01 01:15:00,327.2,33.3,43.8,4.7,176.4,7.25,0,3532.3
2026-06-01 01:20:00,346.3,28.4,42.8,5.1,169.7,7.1,0,3483.9
2026-06-01 01:25:00,331.2,25.8,37.4,5.1,185.5,7.51,0,3579.1
2026-06-01 01:30:00,328.0,29.2,45.2,4.4,162.5,7.42,0,3407.3
2026-06-01 01:35:00,328.6,27.8,42.7,4.3,208.4,7.55,0,3440.6
2026-06-01 01:40:00,324.5,25.1,43.6,4.6,178.0,7.41,0,3509.7
2026-06-01 01:45:00,340.3,29.3,44.3,4.8,206.8,7.33,0,3409.2
2026-06-01 01:50:00,326.3,27.3,46.1,4.4,174.2,7.08,0,3240.8
2026-06-01 01:55:00,337.2,27.2,46.0,5.3,197.1,7.4,0,3180.6
2026-06-01 02:00:00,317.3,31.5,46.4,4.6,162.7,7.44,0,3108.4
2026-06-01 02:05:00,310.7,31.8,46.5,4.6,176.9,7.19,0,3134.5
2026-06-01 02:10:00,369.6,35.0,46.4,5.1,178.8,7.36,0,2990.6
2026-06-01 02:15:00,349.7,25.4,42.6,4.9,193.0,7.32,0,3185.4
2026-06-01 02:20:00,341.9,30.3,43.9,4.5,164.4,7.29,0,2978.5
2026-06-01 02:25:00,326.8,26.7,44.4,4.9,214.9,7.36,0,2977.5
2026-06-01 02:30:00,321.8,29.1,44.8,4.6,186.9,7.35,0,2957.0
2026-06-01 02:35:00,365.6,29.5,46.0,4.4,185.9,7.2,0,2839.0
2026-06-01 02:40:00,249.6,24.8,42.3,4.4,159.7,7.4,0,2936.4
2026-06-01 02:45:00,373.3,29.7,48.6,4.3,192.3,7.16,0,2878.2
2026-06-01 02:50:00,334.7,29.1,47.7,4.9,206.8,7.35,0,2810.9
2026-06-01 02:55:00,278.3,29.8,41.0,4.2,168.8,7.33,0,2825.7
2026-06-01 03:00:00,380.0,26.8,43.4,4.8,174.8,7.23,0,2780.8
2026-06-01 03:05:00,282.8,32.6,47.6,4.6,181.0,7.43,0,2768.9
2026-06-01 03:10:00,289.3,29.7,41.6,4.8,179.8,7.11,0,2720.3
2026-06-01 03:15:00,311.5,29.4,40.0,4.6,168.0,7.33,0,2754.9
2026-06-01 03:20:00,324.1,31.0,49.8,4.4,193.0,7.32,0,2765.9
2026-06-01 03:25:00,359.6,29.3,42.7,4.8,207.4,7.46,0,2695.9
2026-06-01 03:30:00,321.3,27.2,37.8,4.6,184.3,7.37,0,2758.7
2026-06-01 03:35:00,326.7,32.0,42.8,4.7,168.9,7.08,0,2642.8
2026-06-01 03:40:00,316.2,27.9,41.2,5.2,165.0,7.25,0,2826.6
2026-06-01 03:45:00,332.3,31.4,46.6,4.4,230.9,7.46,0,2703.6
2026-06-01 03:50:00,372.0,29.8,45.0,5.0,177.9,7.28,0,2692.3
2026-06-01 03:55:00,355.5,33.1,40.2,4.9,195.6,7.19,0,2781.0
2026-06-01 04:00:00,317.9,28.8,35.7,4.6,155.4,7.29,0,2846.4
2026-06-01 04:05:00,326.8,28.1,45.1,4.8,172.6,7.47,0,2844.5
2026-06-01 04:10:00,290.4,29.2,43.1,4.7,207.1,7.22,0,2939.9
2026-06-01 04:15:00,347.0,28.4,47.1,4.7,170.7,7.2,0,2913.7
2026-06-01 04:20:00,333.6,27.7,42.2,4.5,172.1,7.28,0,2953.8
2026-06-01 04:25:00,342.6,31.6,43.2,4.7,194.7,7.24,0,2998.7
2026-06-01 04:30:00,335.8,26.1,41.1,4.4,175.9,7.37,0,3155.0
2026-06-01 04:35:00,369.6,31.4,42.7,5.1,199.0,7.26,0,3072.0
