link_id,from_node,to_node,diameter_mm,length_m,slope
L_T01_T02,T01,T02,1500,774,0.0018
L_T02_T03,T02,T03,1650,880,0.0012
L_T03_T04,T03,T04,1650,921,0.0013
L_T04_T05,T04,T05,1800,715,0.0016
L_T05_T06,T05,T06,1650,679,0.0008
L_T06_T07,T06,T07,1200,914,0.0016
L_T07_T08,T07,T08,1500,912,0.0014
L_T08_T09,T08,T09,1650,827,0.001
L_T09_T10,T09,T10,1350,867,0.0014
L_T10_T11,T10,T11,1200,826,0.0017
L_T11_T12,T11,T12,1500,821,0.0015
L_T12_PLANT_IN,T12,PLANT_IN,1650,721,0.0008
L_B101_T09,B101,T09,400,467,0.0026
L_B102_B101,B102,B101,500,306,0.0012
L_B103_B102,B103,B102,400,450,0.0013
L_B104_B103,B104,B103,400,489,0.0017
L_B105_B104,B105,B104,500,572,0.0024
L_B201_T04,B201,T04,500,434,0.0015
L_B202_B201,B202,B201,600,360,0.0016
L_B203_B202,B203,B202,400,515,0.0019
L_B204_B203,B204,B203,800,325,0.0018
L_B205_B204,B205,B204,600,331,0.0022
L_B301_T10,B301,T10,400,404,0.0022
L_B302_B301,B302,B301,500,324,0.002
L_B303_B302,B303,B302,800,442,0.0015
L_B304_B303,B304,B303,500,547,0.0028
L_B305_B304,B305,B304,400,501,0.0016
L_B401_T03,B401,T03,500,574,0.0015
L_B402_B401,B402,B401,400,548,0.0026
L_B403_B402,B403,B402,600,376,0.0029
L_B404_B403,B404,B403,600,597,0.0028
L_B405_B404,B405,B404,400,394,0.0025
L_B501_T11,B501,T11,600,524,0.0015
L_B502_B501,B502,B501,400,345,0.0014
L_B503_B502,B503,B502,800,393,0.0026
L_B504_B503,B504,B503,800,368,0.0013
L_B505_B504,B505,B504,400,508,0.0022
L_B601_T05,B601,T05,400,339,0.0012
L_B602_B601,B602,B601,600,446,0.0023
L_B603_B602,B603,B602,500,466,0.0023
L_B604_B603,B604,B603,400,589,0.0022
L_B605_B604,B605,B604,600,305,0.0012
