node_id,kind,dist_to_plant_km,ground_elev_m,invert_depth_m,catchment_ha
T01,trunk,9.6,5.05,4.76,71.5
T02,trunk,8.8,4.89,3.38,78.5
T03,trunk,8.0,5.02,6.14,27.7
T04,trunk,7.2,4.4,4.48,75.6
T05,trunk,6.4,4.79,6.29,46.6
T06,trunk,5.6,3.95,5.22,23.8
T07,trunk,4.8,5.16,5.53,65.5
T08,trunk,4.0,4.21,6.88,73.6
T09,trunk,3.2,5.06,3.78,48.0
T10,trunk,2.4,3.59,3.62,61.0
T11,trunk,1.6,4.99,6.87,39.5
T12,trunk,0.8,4.24,4.88,31.4
PLANT_IN,plant_inlet,0.0,3.76,4.9,33.6
B101,branch,5.7,4.06,4.17,59.7
B102,branch,5.2,4.83,4.63,68.8
B103,branch,4.7,4.94,4.85,29.7
B104,branch,4.2,4.89,4.78,42.9
B105,branch,3.7,3.68,3.47,77.7
B201,branch,9.7,4.03,6.88,66.7
B202,branch,9.2,3.69,6.61,47.3
B203,branch,8.7,4.66,3.71,71.4
B204,branch,8.2,4.75,5.34,59.0
B205,branch,7.7,3.58,4.98,39.8
B301,branch,4.9,3.84,6.7,54.9
B302,branch,4.4,3.55,6.83,48.9
B303,branch,3.9,4.48,6.75,54.3
B304,branch,3.4,4.16,5.08,46.3
B305,branch,2.9,3.78,5.22,26.5
B401,branch,10.5,4.82,5.91,66.1
B402,branch,10.0,3.57,5.22,42.3
B403,branch,9.5,4.13,6.81,37.5
B404,branch,9.0,3.83,3.18,46.1
B405,branch,8.5,5.0,6.56,73.6
B501,branch,4.1,4.82,4.49,25.7
B502,branch,3.6,5.37,3.96,27.4
B503,branch,3.1,4.7,6.5,31.8
B504,branch,2.6,5.44,5.0,28.6
B505,branch,2.1,4.86,3.49,50.4
B601,branch,8.9,3.9,6.22,62.9
B602,branch,8.4,5.36,4.59,38.1
B603,branch,7.9,5.41,4.15,75.5
B604,branch,7.4,3.71,3.56,45.1
B605,branch,6.9,5.37,6.22,48.0
