time,forecast_inflow_m3h,capacity_ratio,warning_level,advice,lead_time_min
2026-08-08 22:55:00,3433.2,0.429,正常,常规运行,120
2026-08-08 23:00:00,3441.7,0.43,正常,常规运行,120
2026-08-08 23:05:00,3398.4,0.425,正常,常规运行,120
2026-08-08 23:10:00,3342.4,0.418,正常,常规运行,120
2026-08-08 23:15:00,3377.2,0.422,正常,常规运行,120
2026-08-08 23:20:00,3331.2,0.416,正常,常规运行,120
2026-08-08 23:25:00,3330.0,0.416,正常,常规运行,120
2026-08-08 23:30:00,3211.9,0.401,正常,常规运行,120
2026-08-08 23:35:00,3255.8,0.407,正常,常规运行,120
2026-08-08 23:40:00,3072.4,0.384,正常,常规运行,120
2026-08-08 23:45:00,3168.0,0.396,正常,常规运行,120
2026-08-08 23:50:00,3087.5,0.386,正常,常规运行,120
2026-08-08 23:55:00,3054.1,0.382,正常,常规运行,120
2026-08-09 00:00:00,2957.8,0.37,正常,常规运行,120
2026-08-09 00:05:00,2959.7,0.37,正常,常规运行,120
2026-08-09 00:10:00,2897.7,0.362,正常,常规运行,120
2026-08-09 00:15:00,2885.4,0.361,正常,常规运行,120
2026-08-09 00:20:00,2824.6,0.353,正常,常规运行,120
2026-08-09 00:25:00,2804.3,0.351,正常,常规运行,120
2026-08-09 00:30:00,2788.4,0.349,正常,常规运行,120
2026-08-09 00:35:00,2719.4,0.34,正常,常规运行,120
2026-08-09 00:40:00,2746.2,0.343,正常,常规运行,120
2026-08-09 00:45:00,2725.8,0.341,正常,常规运行,120
2026-08-09 00:50:00,2692.2,0.337,正常,常规运行,120
2026-08-09 00:55:00,2683.1,0.335,正常,常规运行,120
2026-08-09 01:00:00,2689.2,0.336,正常,常规运行,120
2026-08-09 01:05:00,2685.2,0.336,正常,常规运行,120
2026-08-09 01:10:00,2684.8,0.336,正常,常规运行,120
2026-08-09 01:15:00,2669.5,0.334,正常,常规运行,120
2026-08-09 01:20:00,2674.2,0.334,正常,常规运行,120
2026-08-09 01:25:00,2652.7,0.332,正常,常规运行,120
2026-08-09 01:30:00,2679.7,0.335,正常,常规运行,120
2026-08-09 01:35:00,2699.1,0.337,正常,常规运行,120
2026-08-09 01:40:00,2693.2,0.337,正常,常规运行,120
2026-08-09 01:45:00,2727.8,0.341,正常,常规运行,120
2026-08-09 01:50:00,2691.2,0.336,正常,常规运行,120
2026-08-09 01:55:00,2758.6,0.345,正常,常规运行,120
2026-08-09 02:00:00,2714.9,0.339,正常,常规运行,120
2026-08-09 02:05:00,2749.4,0.344,正常,常规运行,120
2026-08-09 02:10:00,2744.9,0.343,正常,常规运行,120
2026-08-09 02:15:00,2795.4,0.349,正常,常规运行,120
2026-08-09 02:20:00,2790.9,0.349,正常,常规运行,120
2026-08-09 02:25:00,2833.0,0.354,正常,常规运行,120
2026-08-09 02:30:00,2869.1,0.359,正常,常规运行,120
2026-08-09 02:35:00,2959.5,0.37,正常,常规运行,120
2026-08-09 02:40:00,2993.9,0.374,正常,常规运行,120
2026-08-09 02:45:00,3062.1,0.383,正常,常规运行,120
2026-08-09 02:50:00,3069.7,0.384,正常,常规运行,120
2026-08-09 02:55:00,3194.3,0.399,正常,常规运行,120
2026-08-09 03:00:00,3289.1,0.411,正常,常规运行,120
2026-08-09 03:05:00,3300.8,0.413,正常,常规运行,120
2026-08-09 03:10:00,3361.7,0.42,正常,常规运行,120
2026-08-09 03:15:00,3311.2,0.414,正常,常规运行,120
2026-08-09 03:20:00,3434.3,0.429,正常,常规运行,120
2026-08-09 03:25:00,3504.3,0.438,正常,常规运行,120
2026-08-09 03:30:00,3582.9,0.448,正常,常规运行,120
2026-08-09 03:35:00,3586.1,0.448,正常,常规运行,120
2026-08-09 03:40:00,3698.1,0.462,正常,常规运行,120
2026-08-09 03:45:00,3730.3,0.466,正常,常规运行,120
2026-08-09 03:50:00,3828.7,0.479,正常,常规运行,120
2026-08-09 03:55:00,3936.5,0.492,正常,常规运行,120
2026-08-09 04:00:00,3918.0,0.49,正常,常规运行,120
2026-08-09 04:05:00,4007.5,0.501,正常,常规运行,120
2026-08-09 04:10:00,4085.9,0.511,正常,常规运行,120
2026-08-09 04:15:00,4133.1,0.517,正常,常规运行,120
2026-08-09 04:20:00,4157.4,0.52,正常,常规运行,120
2026-08-09 04:25:00,4192.3,0.524,正常,常规运行,120
2026-08-09 04:30:00,4298.7,0.537,正常,常规运行,120
2026-08-09 04:35:00,4338.7,0.542,正常,常规运行,120
2026-08-09 04:40:00,4349.4,0.544,正常,常规运行,120
2026-08-09 04:45:00,4429.0,0.554,正常,常规运行,120
2026-08-09 04:50:00,4500.4,0.563,正常,常规运行,120
2026-08-09 04:55:00,4553.0,0.569,正常,常规运行,120
2026-08-09 05:00:00,4557.7,0.57,正常,常规运行,120
2026-08-09 05:05:00,4644.9,0.581,正常,常规运行,120
2026-08-09 05:10:00,4761.1,0.595,正常,常规运行,120
2026-08-09 05:15:00,4712.1,0.589,正常,常规运行,120
2026-08-09 05:20:00,4701.4,0.588,正常,常规运行,120
2026-08-09 05:25:00,4877.7,0.61,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 05:30:00,4844.4,0.606,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 05:35:00,4921.8,0.615,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 05:40:00,4867.6,0.608,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 05:45:00,5005.3,0.626,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 05:50:00,5060.8,0.633,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 05:55:00,5051.5,0.631,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 06:00:00,5072.6,0.634,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 06:05:00,5039.2,0.63,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 06:10:00,5213.1,0.652,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 06:15:00,5169.1,0.646,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 06:20:00,5196.9,0.65,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 06:25:00,5281.3,0.66,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 06:30:00,5372.2,0.672,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 06:35:00,5331.8,0.666,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 06:40:00,5304.5,0.663,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 06:45:00,5276.9,0.66,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 06:50:00,5257.6,0.657,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 06:55:00,5222.3,0.653,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 07:00:00,5295.6,0.662,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 07:05:00,5278.0,0.66,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 07:10:00,5369.3,0.671,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 07:15:00,5231.6,0.654,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 07:20:00,5289.3,0.661,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 07:25:00,5335.2,0.667,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 07:30:00,5362.7,0.67,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 07:35:00,5211.0,0.651,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 07:40:00,5215.4,0.652,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 07:45:00,5197.9,0.65,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 07:50:00,5175.8,0.647,蓝色,加强监视：关注上游液位与雨量变化趋势,120
2026-08-09 07:55:00,5150.8,0.644,蓝色,加强监视：关注上游液位与雨量变化趋势,120
